9697 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9697 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9697 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9697 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9698 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9698 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9698 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9698 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9698 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9699 DEBUG [2018-06-25 10:58:39]  Creating implicit proxy for bean 'roleFunctionWriteManage' with 0 common interceptors and 4 specific interceptors
9699 DEBUG [2018-06-25 10:58:39]  Creating JDK dynamic proxy: target source is SingletonTargetSource for target object [com.people2000.user.business.write.manage.impl.RoleFunctionWriteManageImpl@616fe72b]
9701 DEBUG [2018-06-25 10:58:39]  Finished creating instance of bean 'roleFunctionWriteManage'
9701 DEBUG [2018-06-25 10:58:39]  Creating shared instance of singleton bean 'roleWriteManage'
9701 DEBUG [2018-06-25 10:58:39]  Creating instance of bean 'roleWriteManage'
9701 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9701 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9701 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9701 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9701 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9701 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9702 DEBUG [2018-06-25 10:58:39]  Registered injected element on class [com.people2000.user.business.write.manage.impl.RoleWriteManageImpl]: ResourceElement for private com.people2000.user.business.write.dao.RoleDAOWrite com.people2000.user.business.write.manage.impl.RoleWriteManageImpl.roleDAOWrite
9702 DEBUG [2018-06-25 10:58:39]  Registered injected element on class [com.people2000.user.business.write.manage.impl.RoleWriteManageImpl]: ResourceElement for private com.people2000.user.business.write.dao.ext.RoleFunctionDAOWrite2 com.people2000.user.business.write.manage.impl.RoleWriteManageImpl.roleFunctionDAOWrite
9702 DEBUG [2018-06-25 10:58:39]  Eagerly caching bean 'roleWriteManage' to allow for resolving potential circular references
9704 DEBUG [2018-06-25 10:58:39]  Processing injected method of bean 'roleWriteManage': ResourceElement for private com.people2000.user.business.write.dao.RoleDAOWrite com.people2000.user.business.write.manage.impl.RoleWriteManageImpl.roleDAOWrite
9704 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'roleDAOWrite'
9704 DEBUG [2018-06-25 10:58:39]  Processing injected method of bean 'roleWriteManage': ResourceElement for private com.people2000.user.business.write.dao.ext.RoleFunctionDAOWrite2 com.people2000.user.business.write.manage.impl.RoleWriteManageImpl.roleFunctionDAOWrite
9704 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'roleFunctionDAOWrite'
9705 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9705 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9705 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9705 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9705 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9705 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
